"","x"
"46","Can someone tell me why the Samsung S10 phone line in the USA just got a $200 price reduction, but the UK or any other country didn’t? That means it is now cheaper to buy a phone from the USA and have it shipped here, buy a charger and still be better off. Is this fair that the Americans once again get treated better than the rest of the world on pricing or anything else, etc? For those of us that DO buy our phones SIM free, it hurts us right now, for everyone else that is on contract, imagine if your whole contract was $200 cheaper for the whole contract! That means less paid overall and a cheaper monthly contract. Ask you contract provider WHY are we being done over by SAMSUNG? Is the contract provider going to make up the difference, or put pressure on SAMSUNG to reduce their pricing."
"47","Hello Samsung I have a concept idea about a possible One UI 1.2 version for current version of Android and for all devices running One UI including Samsung Galaxy A50:"
"48","In addition to the normal Apple itunes store content to watch/buy/rent, the Apple TV app on Samsung TV has some channels for networks like HBO, Showtime, etc. On my Apple TV device, for example, it allows me to watch content on those kinds of TV channel apps (e.g. HBO GO, Showtime Anytime, NBC, AMC, etc.) with my own provider subscription."
"49","Hi,"
"50","Hi,"
"51","Hi, I am studying in Switzerland. My old phone was broken so I bought a new one which is Samsung Galaxy A40 from Manor shop, Geneva Switzerland. However, next month I am going back to Thailand and by the time I bought it, I did not know that it has regional lock. I have read that many people suggest to make a 5 mins phone call. However, my Swiss sim card is valid only for internet surfing so it will not be able to make an outgoing call. Here is my question, will it unlock if I just surfing (3G/4G) with my phone?, How could I know that the phone is unlocked to use Thai sim?. Thank you"
"52","I have owned all the Notes and most the S series, as of lately its becoming more non-existent of much liking anything about the S10 variants."
"53","I have a suggestion for an app called ""Samsung Beta Club"" for devices running One UI including Samsung Galaxy A50:- Join Samsung Beta Club with other users to get Beta Preview Builds of what Samsung is working on the next updates/builds or next One UI versions- Beta Forum Community/Category- Send Suggestions/Report features- Notices Section with upcoming beta builds -> changelog & release date- Beta Software Updates with improvements, new features and bugfixes- Samsung Beta Club includes One UI Beta Program for all devices worldwide (One UI required) in all countries including Romania- Galaxy Beta Service and Android Beta Program integrated in Android System for Galaxy Devices (SM-A505FN)- Samsung should be part of Android Q Beta Program starting with Samsung Galaxy A50 (SM-A505FN)- Android Q Beta for Samsung Galaxy A50 (SM-A505FN)- Better Support for Samsung Galaxy A50 (SM-A505FN)- Faster OS updates for Samsung Galaxy A50 (SM-A505FN)- Project Treble and Mainline for Samsung Galaxy A50 (SM-A505FN)- Android Beta Feedback Updates with new features and improvements- Beta Preview Updates with all newest features, improvements"
"54","Hi,"
"55","woke up with this burn this morning"
"56","Has anyone else noticed that the AOD doesn't turn off when the proximity sensor is covered? It will dim if automatic brightness is enabled, but it will not actually shut off. All previous smartphones I've used have always turned off the AOD in this scenario, I really don't see any good reason for the display to remain on while it's in a pocket or bag, a strange decision by Samsung for sure."
"57","Text in settings have gone black and with a black background have become unreadable. How can this be fixed?"
"58","Hello,"
"59","My text messages on my Galaxy Note 8 just randomly disappear. Incoming and Sent Messages. Sometimes they reappear and sometiesothey Don't. Is any one else having this same issue?"
"60","Recently done the latest update to android version 9. Nd the way message notifications are have changed."
"61","Hi everybody, what happens is that I have problems with the pendrive Samsung MUF-64BE3 / EU 64GB 3.0 (3.1) every time I try to give a new format when formatting the pendrive works well for a slight moment and then disconnects and continuously appears that there is an error with the pendrive, the problem persists when formatting NTFS or ext3 and only lets me give it the factory format, the reason for giving the mentioned formats is to be able to save several ISO.Can anyone knows how to solve this problem? Thanks so much."
"62","I know, I'm newly active in the UK community but found a petition about One Ui created by some users in here."
"63","Hi,"
"64","Going into the software update and pressing ""later"" removes the notification.. but only for a day or so.. is it possible to perma disable the new software update notification?"
"65","For my lock screen, I change the right app to the camera. Sometime later it will change to an app I've installed, Brewster's. If I change it back or change it to anything else after a little while it resets and is back to Brewster's. Any ideas on how to stop this? I looked on the brewsters app and did not see a setting there"
"66","Network change from 4G LTE to H when calling. And most apps don't work or very slow down while talking on the phone. Other phones with same service and sim card don't have this issue."
"67","My smartphone keeps disconnecting every bluetooth app I have especially one in particular. I did everything from re installing the app, clearing the bluetooth cache and removing the optimizing battery thing for that app. It connects for a second and then ""Disconnect BLE"" so you want to reconnect yes or no or No or confirm but it never works... Anyone had any idea?"
"68","My A7 2018 had a firmware update a few days ago and I immediately noticed that images were now pixelating in apps (pinterest, Twitter, Instagram etc) and on webpages. It's a really disappointing upgrade. Also apps have become unstable and the close randomly or the phone reboots randomly. Please advise - I've cleared cache, updated all apps."
"69","My TV is model UN65NU6080FXZA on 1251 firmware. Called 2 weeks ago about the Apple TV app not showing up. The rep confirmed that my TV should have it. We attempted a hard reset and smart hub reset with no success for the app. I waited 2 weeks to see if it will show up. Still no ATV. I put in a ticket #2212047910 and spoke with a rep. This rep told me Apple TV is not yet available for Samsung and to wait. Did I just get blown off?? Now I’m not sure if I just got bad service or something is wrong with my TV. What do I do now?"
"70","Bit of an unusual problem. For some reason, the ice maker will only dispense crushed ice regardless of whether ""cubed"" is selected or not. I've emptied the ice out and ensured that all the ice is cubed but each time I dispense ice I can hear the blades chopping it up and crushing the ice. I think the selector maybe the thin metal bar that runs the length of the ice tray and sticks into a square hole at the back where there is an inch square shaped fitting. This flicks forward a curved plastic piece that lifts the ice up so the blades can chop it up. I suspect that the selector is stuck. I've checked for ice etc and there's nothing mechanical at the front of the dray, so it must be the square selector thingy at the back of the fridge?"
"71","Hi,"
"72","Hi there,"
"73","Been using it for more than a week now and I keep having this unlocking problem for like three to five times a day. Screen won't respond regardless of how hard you press your finger on the on-screen scanner area. Will have to press the power button instead to unlock using face recognition. Anyone having the same?"
"74","I am having few random software issue in my samsung galaxy S10 plus feom the day of purchase. At the start I ignored it but eventually it led me to factory reset my phone and it has still not been resolved and since from day one it has been malfunctioning it means there is a manufacturing defect. Will samsung replace my device?"
"75","Just got tab s5e bit dissapointed still not able to connect my galaxy watch to it, another tablet now being returned to ee because it does not do what i want it to do."
"76","When swipe up is done no older e mails load? Never had this happen before"
"77","Hi,"
"78","i switch on the loudspeaker during a call by touching the speaker icon on the Phone app. after some time i find that altough the icon is still on, the loud sound has gone. then i touch the icon again to first switch it off and then again to switch it on and the loud sound is restored. it is very irritating to see that what is otherwise 'flagship' phone of the company has such issues"
"79","Hey,"
"80","Just wondering why i cant use samsung pay on my s3 frontier. Everywhere i look it says it is available but I can only get it kn my S8"
"81","hi folks, tonight while watching youtube my j600fn went off and came back on with a black screen only displying the top of the phone (white text battery time wifi etc.)"
"82","Hello. I have the Samsung A50 for almost two months. From times to times, when receiving a gsm phone call, even though I answer, I can’t hear anything and neither the caller doesn’t hear a thing. Has someone experienced the same issue with this? Thank you."
"83","seem that the battery is being drained quickly since the last andoid update , any idea ? -May 2019. S9+"
"84","I have a brand new s10 plus and i noticed (esspecialy in instagram) the colors of pictures are desaturated and wrongly RGB calibrated. This issue can be fixed by opening blue light filter and reduce its opacity to minimum. But its not a safe solution, Samsung should immediately fix this with an update. We bought the best display on market and its color space is all wrong. Anyone have the same problem please post below."
"85","I have a samsung S9. I updated my software to the lastest oneUI with android pie update two months ago(or whenever is was released). About one week ago I have been recieveing notification sound while my phone is set to vibrate only or silent. My media is on but everything else (notifications, ringtone, system, bixby voice) is all muted. However, I still get notification sound. Before this issue came up i would not recieve notification sound when my phone was set to silent and my media volume was on. This issue is very annoying especially when i have class. I went to a walk in samsung support store. But they could not give me a good solution besides wiping my device completely or going through each application and setting it to silent."
"86","Hi All"
"87","I am facing issue with Samsung Tab A 10.5 Keyboard. while using the tablet in landscape mode, I am not able to write and keyboard coming and disappering. Due to disappear of Keyboard not able to write anything."
"88","I have a Galaxy s10e with a contact that is in my work google account that I need to move to my personal google account. I see no way to edit this from the Edit Contact UI. It shows the location at the top of the editing screen, but I don't see a way to change the location. I know I could just delete the contact and save it under the correct account, but in previous versions of Android/Samsung Experience, I was able to change the account the contact was in after the fact."
"89","This only started 2 days ago but it is infuriating and making me consider a factory reset. Regardless on whether silent, vibrate or sound notifications is selected, a notification chime will always play when a notification comes through. This also bypasses do not disturb mode, making me even more confused. Very likely a glitch and interrupts all videos and such making it extremely annoying, and cannot find any other examples of this online either. Please tell me if i am being stupid to fix this."
"90","Hi All, My Samsung galaxy S9+ has become useless for calls after updating software to Security patch level 01 May 2019 today. Patch version G965FXXU4CSE3 / G965FOTF4CSE1 / G965FXXU4CSE1. Can hear calls, but when press/slide receive button then it disconnects., though call is still showing active at caller end."
"91","Now that Samsung internet has inexplicably removed the video history option, are there any other browser options that let you view, and download, your history?"
"92","Hi Community,"
"93","So I have several portable chargers they used to fast charge my samsung devices one day this has just stopped and they only cable charge. I have an s6 and an s8 and have the exact same issue with both of them. They will only cable charge from the portable chargers but they used to fast charge.I have tried different cables and today I went into a phone store and the guy there tried all of his portable chargers and cables he had for sale and on both phones the same issue happened they would only cable charge even though all of the chargers i used said they fast charge on them.He tried the portables on his own samsung and it wouldn't fast charge either.Have samsung done some software update that stops fast charging from portable chargers? Like I have tried 8 different ones on 3 different phones and none of them will fast charge.It seems like something has been changed where they used to fast charge but now they don't anymore. Anyone know how to fix this? Or did Samsung mess something up on the software updates?"
"94","Will Samsung ever partner with ""Clue, the period tracking app?"" Clue is the best period and ovulation tracker for me and it would be amazing if Samsung wearables partnered with them because, having it conveniently on my hand would be amazing when my phone is out of reach. Lol in begging you all to because its the only app I use. If not please offer something better or make an app just as better but I honestly think it doesnt get any better because clue also tracks your period even when you have irregular periods... I really just would like to have the same on my watch."
"95","on S10e volume up and down buttons are a bit small, for people with big fingers it would be helpful to have a bit longer/bigger buttons. And Fingerprint on display instead on home button more pleasing and then phone case can cover the home button."
"96","I have the Galaxy Watch 42mm and ever since todays update my watch disappeared from samsung health and it only counts my phones steps or combined."
"97","Hi there"
"98","Did anyone notice a similar problem like this one:"
"99","I saw S Suggest program in my activity history and i didnt open it.Im using this phone about 3-4 months and i saw this once.is it malware?(I'm living in Turkey?)"
"100","Will 5g ever be available to my new S10e"
"101","Hi guys"
"102","Hey,"
"103","Been informed that this is the place for me to feedback and request changes and the software techies will see it."
"104","It started when I updated my s8+ to the latest operating system, a few weeks ago. I figured it was something that my phone couldn't handle because the update was made for the s10 series. The status bar would completely dissappear and the only thing I would see is my phone carrier logo on the left hand side. Then it would come back whenever it wanted to. This is annoying because I like to know what percentage my battery is on without having to swipe the whole bar down. Fast forward, I just upgraded to the s10+ maybe 2 weeks ago and everything was great but as of 2 days ago my status bar has disappeared again. I have checked every setting and I can't figure out why it's doing this. I'm pretty sure it shouldn't be doing this."
"105","I upgraded to this drive a few days ago."
"106","So I've had my new S10e for two days. I like it so far, but have I ran into one issue that is driving me bonkers. When I adjust the notification volume it does nothing. My notifications seem to run off of my ringtone volume, but use the notification sound. Anyone had this issue, or know of a way to fix it? I see it happen with the reddit and quora apps mainly. Facebook notifications are quieter than other notifications, the same way it was on my S9+. I've never had a Samsung flagship other than my S9+ that I had for 30 days, and now my S10e. I never had this issue with LG or Motorola."
"107","Hi guys i am trying to find where the heck can i set a high heart alert after updating my gear s3 to One Ui....any help?"
"108","I would love to use Samsung pay but it is not possible due to the fact Samsung is not registered with my bank TSB"
"109","Can anyone advise me on who to contact in samsung, regarding an innovation idea that would save many lives and injuries per year worldwide. I have been working on this project for over a year, done my research and found that no mobile phone maker has applied this into the operation of their phones. This application would be an asset for samsung and could be made to be expanded in other areas. Please, please help. Michael Matthews."
"110","Hi all,"
"111","I recently connected my external speakers to my TV using a digital to analog audio converter, converting from the optical audio port to RCA red and white ports to connect to my speakers. Everything seemed to be working great until I decided to watch Netflix, and my external speakers just stopped outputting sound. if I use the TV speakers there is sound."
"112","So when my claim was approved i got an email that it will take up to 30 days for them to be dispatched and i will receive an email when that are. After that month i received an email that it will be dispatched in next 10 working days at the very latest. Deadline came and still no buds or any kind of emails of whats happening with them. Does anyone have the same issue ?"
"113","I -- and judging from posts in various fora on the web, a lot of other customers -- experience lip sync issues with 5.1 surround sound input on the Q90R (firmware v1066)."
"114","Hi!"
"115","Hi."
"116","Hi,"
"117",NA
"118","Hi,"
"119","Not sure if I have the right place for this discussion post but it seemed most relevant."
"120","Hello since I bought my A50 (yesterday) I have a weird bug/issue:"
"121","Turned Apps button on and now can't turn it off. Slider goes grey. After closing Home screen settings it goes blue again by it self. And Apps button is not disappearing from home home screen."
"122","I am having a strange issue with the Samsung Email client. I have version 6.0.02.12 on Galaxy S10+ with the latest OS version from T-mobile ( May 1st security patch level)"
"123","I tried to download apps from the smart hub but it says that this function is not supported, the same apps use to work before ."
"124","Hi guys"
"125","The pie update is the worst update ever. Just saying"
"126","I appear to be having big delays in receiving texts and notifications on my unlocked S10 Plus. The issue doesn't appear to be my carrier (Three) as my partner receives texts from me and he's on the same network, but every day now I'm having big delays in receiving texts, e.g. I didn't get my partner's good morning text until 6pm!"
"127","Hi, After the latest update (today), when staring a run, it does not give a chance for the gps to lock location before you start running? Before the update, you could click ""start"" once location had been found, now it starts timing the run etc before it has found location. So you could be running for a few minutes before location is found!!"
"128","Since the last update, my Gear S3 Frontier is no longer a selection in the step tracker in Samsung Health. All I have is ""Mobile phone"" and ""All steps"". But I think it is actually tracking steps on the S3 because the step count is going up way too fast for the amount of walking I'm doing. I think every step is being double counted, but the Gear S3 and My Note 8. If I set it to ""Mobile phone"" the step count gets cut in about half."
"129","I use my headphones fairly regularly and the other day I went to use them for spotify (Like I always would) and the headbuds don't play any sound but controls on the buds work fine (skipping, playing etc) anyone know anything?"
"130",""
"131","Hi,"
"132","Does anyone know how I can remove the Gear 2 Neo (I have never owned one) from my Samsung Health App and have it recognize my S3 Frontier?"
"133","After Samsung Galaxy Watch 42mm with One UI update, I can't install Samsung health update on the watch. Watch just disconnects when update is installing. I have Samsung Galaxy S9 (One UI) & Samsung Galaxy Watch 42mm (One UI)."
"134","last few days every time I open YouTube app on my TV, and try to watch any video, every time there is a advertisement it auto plays to next video. Is anyone else having this issue with app, I would really appreciate the help. thanks .."
"135","It shows as on in settings"
"136","Hi,"
"137","I am currently using SM-A60F South Africa and I have two friends who use the same phone and they both got Android 9 update, while my ohone is still stuck on Android Oreo. Whenever I check for an update, it tells me the latest update has already been installed. Will I ever get the update?"
"138","Hi all first time ever on a forum but in desperation so please be gentle with me. I've had a Samsung as long as I can remember. My note 8 was working just fine until last update, I had to change and replace one of my 7 direct dial contact which is pretty standard procedure."
"139","I recently updated to samsung one (android 9) and my bluetooth connection is super unstable with all my bluetooth devices. I deleted bluetooth data and cache and restarted my phone and it didnt fix it at all, can anyone help?"
"140","pictures using WhatsApp camera (1x) appears blurry. Even focused picture taken by in-phone camera will become blurry when shared to whatsapp recipient. Any suggestions to solve? Tks"
"141","Good Morning."
"142","I was reading and watching reviews wether its written or video regarding exynos s10 vs snapdragon s10."
"143","I have an issue with my 49"" Q6FN TV with One Remote. After prolonged periods of the TV being off (like 6+ hours), the first time the TV is turned on (using the remote via IR) it takes some time for the TV to start responding to commands (over bluetooth I guess), or rather the remote to send them. Like the TV (or remote?) went to some deep sleep. Pressing other buttons just shows the flickering red light on the remote. It takes about 5-10 seconds. After that it continues to work normally. After shorter periods of being off, there is no such issue."
"144","Has anyone else had this issue? My phone every now and then randomly vibrates 4 times with no notifications or icons in the top of the screen?"
"145","Hi!"
"146","Hi, new to the forum."
"147","With one of the recent updates the alert sound for FB messenger is just a broken clicking noise. Is anyone else experiencing this problem or maybe I have a hardware issue."
"148","cant make or receive calls after update , immediatly disconnects after call is answered ,send or receive , initially thought it was sim card related and fitted new sim , it worked for 1 call then resorted back , tried carrier reset and full factory reset with no joy"
"149","Any ideas"
"150","Hi there,"
"151",""
"152","I have a lot of photos in my gallery folder on Samsung s2 tablet which are held in my internal storage."
"153","Hello."
"154","Hi, I purchased my phone in december 2018, and got my update for Pie when it came out but the Russian version, (probably because the seller imported it from Russia) and im from Croatia. So I updated it in February to Pie but I was getting a message that I need to reset my phone because I switched carriers. So after i reset it, my CSC changed to SEE, and since then i got no software update and no security update, but I found online that Samsung released a few updates since then even for SEE region. Does anyone know what to do and is it a bug or is it normal? Thank you."
"155","Hello,"
"156","Hi"
"157","Hey. My Samsung is somehow connected to my daughters Samsung. When I receive a message...my daughter also receives the message. I am constantly getting notifications from YouTube channels that my daughter watches on her phone. How do I disconnect the two Samsung's?"
"158",""
"159","After connecting my samsung buds to my S10+, the volume bar appears as normal. When the issue occurs the android hearing protection doesn't appear on volume bar in Orange."
"160","I've got a Samsung S8+ and it was updated last week and since then the notificaitons aren't showing up on my Samsung Galaxy 46mm."
"161","Here I am on a (still) shiny S9+, it's May 28, and the phone's still on the April 1 security patch. And this update was released on April 10."
"162","Since upgrading to U1 android 9, Samsung health isn't working correctly- it goes off when screen does. I've set battery to highest I can at moderate level."
"163","Hi,"
"164","Since the latest update the colour contrast is all wrong. Previously with themes the text under folders was White or at least light enough to view the folder name. After this recent update this is no longer the case... I have sent messages to the Samsung members help team and they suggested i change theme. I've installed many themes with white font and the same issues occur. Has anyone else noticed this change since the last update?"
"165","I've had my Samsung A50 for around 3 months and here's my list of problems and despite recent update and factory reset - symptoms persist!"
"166","Hello,"
"167","My phone is rubbish on wifi and I'm not sure why...its really not good at all?"
"168","I have been using Galaxy S9+ for almost two years, paired with my bluetooth system first in Ford Mondeo and for a year now in Volvo XC60. All was well until with probably some update, one day the audio quality via bluetooth got pretty poor. It's a joke - sounds like I am streaming a 128kbps mp3 ten years ago...Yesterday I bought JBL Endurance Jump bluetooth headphones - the same thing...both my Volvo and JBL bluetooth work well with iPhone and even old HTC phone I have (and must use in my car separately to play music via bluetooth) so the issue is definitely my Galaxy S9+."
"169",""
"170","I have an M20, and it turns out not to notify when a message has come in. There is no LED on this model (found that out after I bought it — didn't think to ask after such a basic function beforehand) and I can't figure out how to get the screen to turn on when notifications come in."
"171","I recently purchased the Samsung Q70R and I do use TV Plus to watch BUZZR and Classic TV. The issue on the listing is for Classic TV the show's name isn't displayed anywhere. Only the title of the episode. Also, no info about the episode is available but only a generic blurb about the show."
"172","Hello, i have the Samsung Galaxy S9+ and i always use the finguerprint scanner to unlock my phone. The problem is that yesterday i went to the beach and took photos in water with it, then the finguerprint scanner stops working and a message pop up when i try to use it, the message says "" An error occurred with the fingerprint sensor. If this message appears repeatedly, restart your device"". I restart the device also factory reset it and doesnt work. When i tap *#0*# on the phone appear some white squares and one of them says ""sensors"", when i press there, on the finguerprint sensor test it says that cannot found Data log. What should I do."
"173","Hi I bought A Samsung Galaxy ""Tab A"" 10.5 today and I can't seem to find any information about how to connect it to an HDMI input on either my TV or into my Screen Capture Box."
"174","So, "" Sound Assistant"" app and Bluetooth Dual audio features, are they the same thing? Screenshot: https://photos.app.goo.gl/TRCPAjuo2F6gFbAm6"
"175","How do I prevent an app from using my mobile data? (4G, H+ etc.)"
"176","Good day everyone, I was wondering,"
"177","Hello Samsung Community. I need to ask and request App Good Lock for Samsung Galaxy A50 in Bulgaria and hole Europe to be available to download from Galaxy Store?"
"178","THERE IS NO UPDATE AVAILABLE FOR MY SMART TV MODEL NUMBER UA40J5500AK. BUT I NEED TO UPDATE IT SO THAT I CAN DOWNLOAD NEW APPS LIKE HOTSTAR AND JIO CINEMA TOO."
"179","So, just a few days ago, I noticed that my S9 started to overheat really often and it always loses RAM. Today, I saw it using just 0,9 GB of RAM. This is ridiculous. What's wrong with my phone? My old J7 2016 didn't have such issues, I don't have that many apps. My heaviest apps are probably games such as Super Mario Run or Animal Crossing but I rarely play them. The last time I played them was probably a month ago. I think something's wrong with my phone and Samsung's Device Care app manages to fix the RAM wasting issues but only for a few seconds. It has never been that bad, what is wrong with my phone? I really don't want my flagship phone to get worn out so fast. It's only been months, I have had this phone since December 2018."
"180","I have a galaxy s10 plus and send long texts - usually by cutting & pasting text from a Samsung notepad entry I have set up (eg. directions to my house). Its so annoying its converting them to mms and therefore I'm getting charged. How can I either completely stop my phone sending mms messages or stop this conversion happening. Thanks!"
"181","Hello"
"182","It's quite incredible that Samsung would not provide compatibility between the only free, full-featured file transfer client for Samsung and the S10 series."
"183","Hello"
"184","My Samsung TV 3d TV drove me mad after the Smart IPTV always stopped working"
"185","So I bought an S10 on the Samsung site and sent my (almost new, perfect condition) S8 back in the envelope they sent me (I packed it in its old box and wrapped that in bubble wrap). I used the Post Office's 24 hour signed for service, which cost me £7.40. I checked the tracking number a few days later and it showed up as delivered and signed for at the Samsung recycling centre the next morning. That was 2 weeks ago."
"186","Does anyone have the Samsung Galaxy s10. If you do please, either email me or message me on messenger. See I really need someone who hasn’t downloaded fortnite yet. I need them to download it, make a new account, play three games and get the free bundle in the fortnite store. Once you’ve done this I really need you to tell me the account email and password so then I can get the skin. I want it so bad and have been searching for HOURS!! Thanks for reading."
"187","Hi. Why can't I browse all my photos when wanting to upload pics to a selling site? The photos that appear are 187 out of 1000+ and not any of the ones I want to upload."
"188","So until the other day I could simply pull down the status bar and reply or mark as read on WhatsApp via this method. However this has now changed and neither option is highlighted. Anyone know how I can get this back as it was massively helpful. It works when a standard text comes in but not whatsapp"
"189","Can't believe they remove this feature from Pie. Seriously? The only reason people choose to use Androids is the freedom, not the restriction, why remove such good feature? Please put it back."
"190","I have no idea why it is doing this other i have noticed cpu usage is much lower when reading and when it writes that same 4kibq8t8 where i get there higher score the cpu is 100% why is it not utilising the cpu properly when reading?"
"191","Good evening all you Kats & Kittens. Just wanted to say hey & leave all with an update on the status of my home theater system thanks to your putting up with all the questions I had. Well I was trying to make neat all the cables & the like, when to my horror, I knocke over my 55"" QLED Series 6 TV. Only 18 months old. I just recied my new set (a 58"" UHD NU7100 Series 7 I guess I will find out tomorrow if all the home theater peripherals will be compatible. But you can rest assured that I will be tethering this brute to the wall. Don't know what has happened to font size but for some reason it just just up a notch or two."
"192","Yesterday my wifi decided to drop out, for no apparent reason. I'm on holiday and it was working fine. It auto reconnected to the network (remembering the details from when we were here last time). Everybody else's devices are connected fine."
"193","Help screen timeout keeps resetting itself to 30 seconds even though I chose 10 minutes"
